"Day","Temperature"
1,2.85076458445136
2,2.58905048786034
3,2.32721418639078
4,2.06527956578053
5,1.80327052073654
6,1.54121095275502
7,1.27912476794111
8,1.24943629682662
9,1.24943629682662
10,1.24943629682662
11,1.24943629682662
12,1.24943629682662
13,1.24943629682662
14,1.24943629682662
15,1.24943629682662
16,1.24943629682662
17,1.24943629682662
18,1.24943629682662
19,1.24943629682662
20,1.24943629682662
21,1.24943629682662
22,1.24943629682662
23,1.24943629682662
24,1.24943629682662
25,1.24943629682662
26,1.24943629682662
27,1.24943629682662
28,1.24943629682662
29,1.24943629682662
30,1.24943629682662
31,1.24943629682662
32,1.24943629682662
33,1.24943629682662
34,1.24943629682662
35,1.24943629682662
36,1.24943629682662
37,1.24943629682662
38,1.24943629682662
39,1.24943629682662
40,1.24943629682662
41,1.24943629682662
42,1.24943629682662
43,1.24943629682662
44,1.46157238679789
45,1.72364257147402
46,1.98566949718755
47,2.24762926081109
48,2.50949796534406
49,2.77125172209267
50,3.03286665284907
51,3.29431889206971
52,3.55558458905238
53,3.81663991011198
54,4.07746104075474
55,4.33802418785068
56,4.59830558180405
57,4.85828147872177
58,5.1179281625794
59,5.37722194738457
60,5.63613917933781
61,5.89465623899022
62,6.15274954339825
63,6.41039554827494
64,6.66757075013776
65,6.92425168845267
66,7.18041494777433
67,7.43603715988207
68,7.69109500591172
69,7.94556521848278
70,8.19942458382099
71,8.45264994387597
72,8.70521819843383
73,8.95710630722439
74,9.20829129202306
75,9.458750238747
76,9.7084602995454
77,9.95739869488378
78,10.205542715622
79,10.452869725086
80,10.6993571611325
81,10.9449825382076
82,11.1897234493978
83,11.4335575684739
84,11.6764626519279
85,11.9184165410023
86,12.1593971637111
87,12.3993825368534
88,12.6383507680191
89,12.8762800575857
90,13.1131487007069
91,13.3489350892931
92,13.5836177139818
93,13.8171751661004
94,14.0495861396191
95,14.2808294330941
96,14.5108839516022
97,14.7397287086647
98,14.9673428281625
99,15.1937055462396
100,15.4187962131981
101,15.6425942953815
102,15.865079377048
103,16.0862311622328
104,16.3060294765999
105,16.5244542692818
106,16.7414856147095
107,16.9571037144294
108,17.1712888989099
109,17.3840216293357
110,17.5952824993897
111,17.8050522370241
112,18.0133117062178
113,18.2200419087224
114,18.4252239857952
115,18.6288392199198
116,18.830869036513
117,19.0312950056201
118,19.2300988435951
119,19.4272624147698
120,19.6227677331072
121,19.8165969638427
122,20.0087324251111
123,20.1991565895594
124,20.387852085946
125,20.5748017007251
126,20.7599883796171
127,20.9433952291643
128,21.1250055182721
129,21.3048026797352
130,21.482770311749
131,21.6588921794056
132,21.8331522161753
133,22.0055345253715
134,22.1760233816017
135,22.3446032322014
136,22.5112586986533
137,22.6759745779898
138,22.8387358441801
139,22.999527649501
140,23.1583353258912
141,23.3151443862895
142,23.4699405259563
143,23.6227096237786
144,23.7734377435579
145,23.922111135282
146,24.0687162363791
147,24.2132396729547
148,24.3556682610124
149,24.4959890076557
150,24.6341891122739
151,24.7702559677096
152,24.9041771614087
153,25.035940476553
154,25.1655338931741
155,25.2929455892507
156,25.4181639417864
157,25.5411775278703
158,25.661975125719
159,25.7805457157001
160,25.8968784813379
161,26.0109628102996
162,26.1227882953637
163,26.2323447353695
164,26.3396221361472
165,26.4446107114302
166,26.5473008837476
167,26.6476832852975
168,26.7457487588024
169,26.8414883583437
170,26.9348933501785
171,27.0259552135357
172,27.1146656413939
173,27.2010165412386
174,27.285000035801
175,27.3666084637761
176,27.4458343805221
177,27.5226705587389
178,27.597109989128
179,27.6691458810317
180,27.7387716630523
181,27.805980983652
182,27.8707677117321
183,27.9331259371923
184,27.9930499714698
185,28.0505343480584
186,28.105573823007
187,28.1581633753982
188,28.208298207806
189,28.2559737467336
190,28.3011856430309
191,28.3439297722906
192,28.3842022352251
193,28.4219993580218
194,28.4573176926784
195,28.4901540173175
196,28.5205053364803
197,28.5483688814
198,28.5737421102543
199,28.5966227083976
200,28.6170085885715
201,28.6348978910959
202,28.6502889840382
203,28.6631804633623
204,28.6735711530567
205,28.6814601052418
206,28.6868466002564
207,28.6897301467232
208,28.6901104815938
209,28.6879875701724
210,28.6833616061194
211,28.6762330114335
212,28.6666024364131
213,28.6544707595973
214,28.6398390876852
215,28.6227087554356
216,28.6030813255447
217,28.5809585885041
218,28.5563425624369
219,28.5292354929137
220,28.4996398527483
221,28.4675583417713
222,28.4329938865844
223,28.3959496402933
224,28.3564289822199
225,28.3144355175941
226,28.2699730772251
227,28.2230457171517
228,28.1736577182723
229,28.1218135859546
230,28.0675180496243
231,28.010776062334
232,27.951592800311
233,27.8899736624854
234,27.8259242699974
235,27.7594504656848
236,27.6905583135496
237,27.6192540982049
238,27.5455443243019
239,27.4694357159364
240,27.390935216035
241,27.3100499857224
242,27.2267874036675
243,27.1411550654107
244,27.0531607826711
245,26.9628125826332
246,26.8701187072156
247,26.7750876123183
248,26.6777279670518
249,26.5780486529461
250,26.4760587631405
251,26.3717676015541
252,26.2651846820372
253,26.1563197275032
254,26.0451826690415
255,25.9317836450121
256,25.8161330001202
257,25.6982412844727
258,25.5781192526161
259,25.4557778625547
260,25.3312282747515
261,25.2044818511103
262,25.0755501539385
263,24.944444944893
264,24.8111781839069
265,24.6757620280986
266,24.5382088306629
267,24.3985311397436
268,24.2567416972894
269,24.1128534378914
270,23.9668794876028
271,23.8188331627418
272,23.6687279686769
273,23.5165775985945
274,23.3623959322502
275,23.2061970347025
276,23.0479951550294
277,22.887804725029
278,22.7256403579028
279,22.5615168469225
280,22.3954491640807
281,22.2274524587251
282,22.0575420561762
283,21.8857334563296
284,21.712042332242
285,21.5364845287012
286,21.3590760607811
287,21.1798331123802
288,20.9987720347456
289,20.8159093449816
290,20.6312617245422
