day,temperature
1,7.304611802
2,7.224280306
3,7.144427928
4,7.062659081
5,6.983764937
6,6.907769531
7,6.83469601
8,6.764566633
9,6.697402762
10,6.633224857
11,6.572052467
12,6.513904224
13,6.458797842
14,6.406750107
15,6.357776872
16,6.311893056
17,6.269112635
18,6.229448641
19,6.192913155
20,6.159517307
21,6.129271269
22,6.102184254
23,6.078264515
24,6.057519335
25,6.039955036
26,6.025576967
27,6.014389507
28,6.006396065
29,6.001599076
30,6
31,6.001599325
32,6.006396564
33,6.014390255
34,6.025577963
35,6.039956281
36,6.057520829
37,6.078266256
38,6.102186243
39,6.129273504
40,6.159519788
41,6.192915881
42,6.229451612
43,6.269115849
44,6.311896513
45,6.35778057
46,6.406754045
47,6.45880202
48,6.513908639
49,6.572057118
50,6.633229744
51,6.697407883
52,6.764571985
53,6.834701592
54,6.907775342
55,6.983770976
56,7.062665344
57,7.144434415
58,7.229053281
59,7.316496167
60,7.406736435
61,7.4997466
62,7.595498327
63,7.693962452
64,7.79510898
65,7.898907101
66,8.005325198
67,8.114330855
68,8.225890866
69,8.339971251
70,8.456537259
71,8.575553383
72,8.696983369
73,8.820790229
74,8.94693625
75,9.075383007
76,9.206091374
77,9.339021535
78,9.474132998
79,9.611384609
80,9.750734557
81,9.892140397
82,10.03555905
83,10.18094684
84,10.32825948
85,10.47745208
86,10.62847921
87,10.78129486
88,10.93585248
89,11.092105
90,11.25000481
91,11.40950382
92,11.57055345
93,11.73310463
94,11.89710786
95,12.06251317
96,12.22927018
97,12.3973281
98,12.56663572
99,12.73714149
100,12.90879347
101,13.08153936
102,13.25532654
103,13.43010209
104,13.60581275
105,13.78240501
106,13.95982508
107,14.13801891
108,14.31693222
109,14.49651051
110,14.67669909
111,14.85744306
112,15.03868737
113,15.22037681
114,15.40245603
115,15.58486958
116,15.76756188
117,15.95047729
118,16.1335601
119,16.31675452
120,16.50000476
121,16.683255
122,16.86644942
123,17.04953222
124,17.23244762
125,17.41513991
126,17.59755344
127,17.77963265
128,17.96132207
129,18.14256635
130,18.3233103
131,18.50349884
132,18.6830771
133,18.86199038
134,19.04018417
135,19.21760419
136,19.39419641
137,19.56990702
138,19.74468252
139,19.91846965
140,20.09121548
141,20.2628674
142,20.43337311
143,20.60268067
144,20.77073852
145,20.93749547
146,21.1029007
147,21.26690385
148,21.42945496
149,21.59050451
150,21.75000344
151,21.90790317
152,22.0641556
153,22.21871313
154,22.37152869
155,22.52255572
156,22.67174823
157,22.81906076
158,22.96444845
159,23.10786701
160,23.24927274
161,23.38862258
162,23.52587408
163,23.66098543
164,23.79391548
165,23.92462373
166,24.05307037
167,24.17921627
168,24.303023
169,24.42445287
170,24.54346886
171,24.66003474
172,24.774115
173,24.88567488
174,24.9946804
175,25.10109836
176,25.20489635
177,25.30604274
178,25.40450672
179,25.50025831
180,25.59326833
181,25.68350845
182,25.77095119
183,25.85556991
184,25.93733883
185,26.01623305
186,26.09222853
187,26.16530213
188,26.23543158
189,26.30259553
190,26.36677351
191,26.42794598
192,26.4860943
193,26.54120077
194,26.59324858
195,26.6422219
196,26.68810579
197,26.73088629
198,26.77055037
199,26.80708594
200,26.84048187
201,26.87072799
202,26.89781508
203,26.92173491
204,26.94248017
205,26.96004455
206,26.9744227
207,26.98561024
208,26.99360377
209,26.99840084
210,27
211,26.99840076
212,26.9936036
213,26.98560999
214,26.97442237
215,26.96004413
216,26.94247967
217,26.92173432
218,26.89781442
219,26.87072724
220,26.84048104
221,26.80708503
222,26.77054938
223,26.73088522
224,26.68810464
225,26.64222066
226,26.59324727
227,26.54119937
228,26.48609283
229,26.42794443
230,26.36677188
231,26.30259382
232,26.2354298
233,26.16530027
234,26.09222659
235,26.01623104
236,25.93733674
237,25.85556775
238,25.77094895
239,25.68350614
240,25.59326595
241,25.50025585
242,25.4045042
243,25.30604014
244,25.20489368
245,25.10109563
246,24.9946776
247,24.88567201
248,24.77411207
249,24.66003175
250,24.5434658
251,24.42444974
252,24.30301982
253,24.17921302
254,24.05306706
255,23.92462036
256,23.79391205
257,23.66098195
258,23.52587054
259,23.38861899
260,23.24926909
261,23.1078633
262,22.9644447
263,22.81905696
264,22.67174438
265,22.52255182
266,22.37152474
267,22.21870914
268,22.06415156
269,21.90789908
270,21.74999931
271,21.59050034
272,21.42945076
273,21.26689961
274,21.10289642
275,20.93749115
276,20.77073417
277,20.60267629
278,20.43336869
279,20.26286295
280,20.09121101
281,19.91846515
282,19.74467799
283,19.56990247
284,19.39419183
285,19.21759959
286,19.04017954
287,18.86198574
288,18.68307244
289,18.50349417
290,18.3233056
291,18.14256165
292,17.96131735
293,17.77962792
294,17.59754871
295,17.41513517
296,17.23244287
297,17.04952746
298,16.86644466
299,16.68325024
300,16.5
301,16.31674976
302,16.13355534
303,15.95047254
304,15.76755713
305,15.58486483
306,15.40245129
307,15.22037208
308,15.03868265
309,14.85743835
310,14.6766944
311,14.49650583
312,14.31692756
313,14.13801426
314,13.95982046
315,13.78240041
316,13.60580817
317,13.43009753
318,13.25532201
319,13.08153485
320,12.90878899
321,12.73713705
322,12.56663131
323,12.39732371
324,12.22926583
325,12.06250885
326,11.89710358
327,11.73310039
328,11.57054925
329,11.40949966
330,11.25000069
331,11.09210092
332,10.93584844
333,10.78129087
334,10.62847526
335,10.47744818
336,10.32825562
337,10.18094304
338,10.0355553
339,9.892136696
340,9.750730909
341,9.611381014
342,9.474129459
343,9.339018051
344,9.206087948
345,9.075379639
346,8.946932942
347,8.820786981
348,8.696980182
349,8.575550258
350,8.456534198
351,8.339968254
352,8.225887934
353,8.114327988
354,8.005322399
355,7.89890437
356,7.795106317
357,7.693959858
358,7.595495804
359,7.499744147
360,7.406734054
361,7.316493858
362,7.229051045
363,7.144432253
364,7.062663256
365,6.983768963
