NRun,Run_Name,Species_Num,Species_txt,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,calc.pop_mort,calc.spawn,calc.nut,calc.contaminant,Init_pred_conc,contam_eq,T_File,Diet_File,Prey_E_File,Indigest_Prey_File,Pred_E_File,Mort_File,Reprod_File,Contam_Prey_C_File,Contam_assim_File,Contam_TE_File,Phos_Ae_File,Phos_Co_Pred_File,Phos_Co_Prey_File,Nit_Ae_File,Nit_Co_Pred_File,Nit_Co_Prey_File,FB4_Log_File
1,Check Brook trout,15,Brook Trout (juvenile & adult),17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
2,Check Brown trout,17,Brown Trout,17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
3,Check Bull trout,18,Bull trout (adult) ,17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
4,Check Cutthroat trout,23,Cutthroat trout,17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
5,Check Lake trout,40,Lake trout (adult),17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
5,Check Steelhead,78,Steelhead (adult),17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
6,Check Rainbow juv,61,Rainbow Trout (juvenile) ,17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
7,Check Rainbow adult,62,Rainbow Trout (adult) ,17.85,Weight,19.42,1,99,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,Main Inputs/Indigestible_Prey.csv,Main Inputs/Pred_E.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_Trout.csv
